rank,batch,fr_infinitive,es_infinitive,link_order,legacy_ids,source_es_text,en_infinitive,ru_infinitive,cefr_level
301,7,tromper,engañar,1,303,engañar,deceive,обманывать,B1
302,7,dresser,erigir,1,304,"erigir, levantar",erect,воздвигать,B2
302,7,dresser,levantar,2,304,"erigir, levantar",erect,воздвигать,B2
303,7,céder,ceder,1,305,ceder,yield,уступать,B2
304,7,craindre,temer,1,306,temer,fear,опасаться,B2
305,7,prêter,prestar,1,307,prestar,lend,одалживать,A2
306,7,couvrir,cubrir,1,308,cubrir,cover,покрывать,B1
307,7,ménager,manejar,1,309,"manejar, tratar con cuidado",handle carefully,щадить,C1
307,7,ménager,tratar con cuidado,2,309,"manejar, tratar con cuidado",handle carefully,щадить,C1
308,7,traîner,arrastrar,1,310,"arrastrar, deambular",drag,перетаскивать,B1
308,7,traîner,deambular,2,310,"arrastrar, deambular",drag,перетаскивать,B1
309,7,cesser,cesar,1,311,"cesar, parar",cease,прекращать,B1
309,7,cesser,parar,2,311,"cesar, parar",cease,прекращать,B1
310,7,traduire,traducir,1,312,traducir,translate,переводить,A2
311,7,aborder,abordar,1,313,abordar,approach,подходить,B1
312,7,confondre,confundir,1,314,confundir,confuse,путать,B1
313,7,peindre,pintar,1,315,pintar,paint,рисовать,A2
314,7,entreprendre,emprender,1,316,emprender,undertake,предпринимать,B2
315,7,débarrasser,quitar,1,317,quitar,clear away,убирать,B1
316,7,comparer,comparar,1,318,comparar,compare,сравнивать,A2
317,7,entretenir,mantener,1,319,mantener,maintain,поддерживать,B2
318,7,amuser,divertir,1,320,divertir,amuse,развлекать,A2
319,7,plaindre,compadecer,1,321,"compadecer, lamentar",pity,жалеть,B2
319,7,plaindre,lamentar,2,321,"compadecer, lamentar",pity,жалеть,B2
320,7,fabriquer,fabricar,1,322,fabricar,manufacture,изготавливать,A2
321,7,attaquer,atacar,1,323,atacar,attack,нападать,B1
322,7,combattre,combatir,1,324,"combatir, luchar",combat,сражаться,B1
322,7,combattre,luchar,2,324,"combatir, luchar",combat,сражаться,B1
323,7,s'approcher,acercarse a,1,325,acercarse a,draw near,приближаться,A2
324,7,accroître,incrementar,1,326,"incrementar, aumentar",increase,увеличивать,B2
324,7,accroître,aumentar,2,326,"incrementar, aumentar",increase,увеличивать,B2
325,7,ignorer,ignorar,1,327,"ignorar, desconocer",ignore,игнорировать,B1
325,7,ignorer,desconocer,2,327,"ignorar, desconocer",ignore,игнорировать,B1
326,7,reposer,descansar,1,328,descansar,rest,отдыхать,A2
327,7,attirer,atraer,1,329,atraer,attract,привлекать,B1
328,7,songer,pensar,1,330,"pensar, soñar",think about,размышлять,B2
328,7,songer,soñar,2,330,"pensar, soñar",think about,размышлять,B2
329,7,se débarrasser,deshacerse de,1,331,deshacerse de,get rid of,избавляться,B1
330,7,emmener,llevar,1,332,llevar,take along,забирать,A2
331,7,opposer,oponer,1,333,oponer,oppose,противопоставлять,B1
332,7,visiter,visitar,1,334,visitar,visit,посещать,A1
333,7,améliorer,mejorar,1,335,mejorar,improve,улучшать,B1
334,7,annoncer,anunciar,1,336,anunciar,announce,объявлять,A2
335,7,éprouver,experimentar,1,337,"experimentar, sentir",experience,испытывать,B2
335,7,éprouver,sentir,2,337,"experimentar, sentir",experience,испытывать,B2
336,7,accompagner,acompañar,1,338,acompañar,accompany,сопровождать,A2
337,7,recommencer,recomenzar,1,339,"recomenzar, empezar de nuevo",start again,возобновлять,A2
337,7,recommencer,empezar de nuevo,2,339,"recomenzar, empezar de nuevo",start again,возобновлять,A2
338,7,conseiller,aconsejar,1,340,aconsejar,advise,советовать,A2
339,7,brûler,quemar,1,341,quemar,burn,сжигать,A2
340,7,adresser,dirigir,1,342,"dirigir, enviar",address,направлять,B1
340,7,adresser,enviar,2,342,"dirigir, enviar",address,направлять,B1
341,7,adapter,adaptar,1,343,adaptar,adapt,приспосабливать,B1
342,7,prétendre,pretender,1,344,"pretender, afirmar",claim,утверждать,B2
342,7,prétendre,afirmar,2,344,"pretender, afirmar",claim,утверждать,B2
343,7,rapprocher,acercar,1,345,acercar,bring closer,приближать,B1
344,7,confier,confiar,1,346,"confiar, encomendar",entrust,поручать,B1
344,7,confier,encomendar,2,346,"confiar, encomendar",entrust,поручать,B1
345,7,indiquer,indicar,1,347,indicar,indicate,указывать,B1
346,7,nier,negar,1,348,negar,deny,отрицать,B1
347,7,signaler,señalar,1,349,señalar,point out,сообщать,B1
348,7,serrer,apretar,1,350,"apretar, estrechar",squeeze,сжимать,A2
348,7,serrer,estrechar,2,350,"apretar, estrechar",squeeze,сжимать,A2
349,7,démontrer,demostrar,1,351,demostrar,demonstrate,демонстрировать,B1
350,7,réussir,lograr,1,352,"lograr, tener éxito",succeed,преуспевать,A2
350,7,réussir,tener éxito,2,352,"lograr, tener éxito",succeed,преуспевать,A2
