language_code,infinitive,mood,tense,pronoun,conjugated_form,batch,review_status,source_note
FR,contenir,Indicatif,Présent,je,contiens,10,reviewed,irregular/compound paradigm patched manually; QA recommended
FR,contenir,Indicatif,Présent,tu,contiens,10,reviewed,irregular/compound paradigm patched manually; QA recommended
FR,contenir,Indicatif,Présent,"il (elle, on)",contient,10,reviewed,irregular/compound paradigm patched manually; QA recommended
FR,contenir,Indicatif,Présent,nous,contenons,10,reviewed,irregular/compound paradigm patched manually; QA recommended
FR,contenir,Indicatif,Présent,vous,contenez,10,reviewed,irregular/compound paradigm patched manually; QA recommended
FR,contenir,Indicatif,Présent,ils (elles),contiennent,10,reviewed,irregular/compound paradigm patched manually; QA recommended
FR,contenir,Indicatif,Futur,je,contiendrai,10,reviewed,irregular/compound paradigm patched manually; QA recommended
FR,contenir,Indicatif,Futur,tu,contiendras,10,reviewed,irregular/compound paradigm patched manually; QA recommended
FR,contenir,Indicatif,Futur,"il (elle, on)",contiendra,10,reviewed,irregular/compound paradigm patched manually; QA recommended
FR,contenir,Indicatif,Futur,nous,contiendrons,10,reviewed,irregular/compound paradigm patched manually; QA recommended
FR,contenir,Indicatif,Futur,vous,contiendrez,10,reviewed,irregular/compound paradigm patched manually; QA recommended
FR,contenir,Indicatif,Futur,ils (elles),contiendront,10,reviewed,irregular/compound paradigm patched manually; QA recommended
FR,contenir,Indicatif,Passé composé,je,ai contenu,10,reviewed,irregular/compound paradigm patched manually; QA recommended
FR,contenir,Indicatif,Passé composé,tu,as contenu,10,reviewed,irregular/compound paradigm patched manually; QA recommended
FR,contenir,Indicatif,Passé composé,"il (elle, on)",a contenu,10,reviewed,irregular/compound paradigm patched manually; QA recommended
FR,contenir,Indicatif,Passé composé,nous,avons contenu,10,reviewed,irregular/compound paradigm patched manually; QA recommended
FR,contenir,Indicatif,Passé composé,vous,avez contenu,10,reviewed,irregular/compound paradigm patched manually; QA recommended
FR,contenir,Indicatif,Passé composé,ils (elles),ont contenu,10,reviewed,irregular/compound paradigm patched manually; QA recommended
FR,contenir,Indicatif,Imparfait,je,contenais,10,reviewed,irregular/compound paradigm patched manually; QA recommended
FR,contenir,Indicatif,Imparfait,tu,contenais,10,reviewed,irregular/compound paradigm patched manually; QA recommended
FR,contenir,Indicatif,Imparfait,"il (elle, on)",contenait,10,reviewed,irregular/compound paradigm patched manually; QA recommended
FR,contenir,Indicatif,Imparfait,nous,contenions,10,reviewed,irregular/compound paradigm patched manually; QA recommended
FR,contenir,Indicatif,Imparfait,vous,conteniez,10,reviewed,irregular/compound paradigm patched manually; QA recommended
FR,contenir,Indicatif,Imparfait,ils (elles),contenaient,10,reviewed,irregular/compound paradigm patched manually; QA recommended
FR,contenir,Conditionnel,Conditionnel présent,je,contiendrais,10,reviewed,irregular/compound paradigm patched manually; QA recommended
FR,contenir,Conditionnel,Conditionnel présent,tu,contiendrais,10,reviewed,irregular/compound paradigm patched manually; QA recommended
FR,contenir,Conditionnel,Conditionnel présent,"il (elle, on)",contiendrait,10,reviewed,irregular/compound paradigm patched manually; QA recommended
FR,contenir,Conditionnel,Conditionnel présent,nous,contiendrions,10,reviewed,irregular/compound paradigm patched manually; QA recommended
FR,contenir,Conditionnel,Conditionnel présent,vous,contiendriez,10,reviewed,irregular/compound paradigm patched manually; QA recommended
FR,contenir,Conditionnel,Conditionnel présent,ils (elles),contiendraient,10,reviewed,irregular/compound paradigm patched manually; QA recommended
FR,contenir,Impératif,Impératif,je,-,10,reviewed,irregular/compound paradigm patched manually; QA recommended; French imperative only uses tu / nous / vous; placeholder - used for unsupported slot
FR,contenir,Impératif,Impératif,tu,contiens,10,reviewed,irregular/compound paradigm patched manually; QA recommended
FR,contenir,Impératif,Impératif,"il (elle, on)",-,10,reviewed,irregular/compound paradigm patched manually; QA recommended; French imperative only uses tu / nous / vous; placeholder - used for unsupported slot
FR,contenir,Impératif,Impératif,nous,contenons,10,reviewed,irregular/compound paradigm patched manually; QA recommended
FR,contenir,Impératif,Impératif,vous,contenez,10,reviewed,irregular/compound paradigm patched manually; QA recommended
FR,contenir,Impératif,Impératif,ils (elles),-,10,reviewed,irregular/compound paradigm patched manually; QA recommended; French imperative only uses tu / nous / vous; placeholder - used for unsupported slot
FR,contenir,Subjonctif,Subjonctif présent,je,contienne,10,reviewed,irregular/compound paradigm patched manually; QA recommended
FR,contenir,Subjonctif,Subjonctif présent,tu,contiennes,10,reviewed,irregular/compound paradigm patched manually; QA recommended
FR,contenir,Subjonctif,Subjonctif présent,"il (elle, on)",contienne,10,reviewed,irregular/compound paradigm patched manually; QA recommended
FR,contenir,Subjonctif,Subjonctif présent,nous,contenions,10,reviewed,irregular/compound paradigm patched manually; QA recommended
FR,contenir,Subjonctif,Subjonctif présent,vous,conteniez,10,reviewed,irregular/compound paradigm patched manually; QA recommended
FR,contenir,Subjonctif,Subjonctif présent,ils (elles),contiennent,10,reviewed,irregular/compound paradigm patched manually; QA recommended
FR,contenir,Indicatif,Passé Simple,je,contins,10,reviewed,irregular/compound paradigm patched manually; QA recommended
FR,contenir,Indicatif,Passé Simple,tu,contins,10,reviewed,irregular/compound paradigm patched manually; QA recommended
FR,contenir,Indicatif,Passé Simple,"il (elle, on)",contint,10,reviewed,irregular/compound paradigm patched manually; QA recommended
FR,contenir,Indicatif,Passé Simple,nous,contînmes,10,reviewed,irregular/compound paradigm patched manually; QA recommended
FR,contenir,Indicatif,Passé Simple,vous,contîntes,10,reviewed,irregular/compound paradigm patched manually; QA recommended
FR,contenir,Indicatif,Passé Simple,ils (elles),continrent,10,reviewed,irregular/compound paradigm patched manually; QA recommended
FR,contenir,Subjonctif,Subjonctif imparfait,je,continsse,10,reviewed,irregular/compound paradigm patched manually; QA recommended
FR,contenir,Subjonctif,Subjonctif imparfait,tu,continsses,10,reviewed,irregular/compound paradigm patched manually; QA recommended
FR,contenir,Subjonctif,Subjonctif imparfait,"il (elle, on)",contînt,10,reviewed,irregular/compound paradigm patched manually; QA recommended
FR,contenir,Subjonctif,Subjonctif imparfait,nous,continssions,10,reviewed,irregular/compound paradigm patched manually; QA recommended
FR,contenir,Subjonctif,Subjonctif imparfait,vous,continssiez,10,reviewed,irregular/compound paradigm patched manually; QA recommended
FR,contenir,Subjonctif,Subjonctif imparfait,ils (elles),continssent,10,reviewed,irregular/compound paradigm patched manually; QA recommended
FR,dominer,Indicatif,Présent,je,domine,10,reviewed,repo-local legacy seed normalized into curated contract; QA recommended
FR,dominer,Indicatif,Présent,tu,domines,10,reviewed,repo-local legacy seed normalized into curated contract; QA recommended
FR,dominer,Indicatif,Présent,"il (elle, on)",domine,10,reviewed,repo-local legacy seed normalized into curated contract; QA recommended
FR,dominer,Indicatif,Présent,nous,dominons,10,reviewed,repo-local legacy seed normalized into curated contract; QA recommended
FR,dominer,Indicatif,Présent,vous,dominez,10,reviewed,repo-local legacy seed normalized into curated contract; QA recommended
FR,dominer,Indicatif,Présent,ils (elles),dominent,10,reviewed,repo-local legacy seed normalized into curated contract; QA recommended
FR,dominer,Indicatif,Futur,je,dominerai,10,reviewed,repo-local legacy seed normalized into curated contract; QA recommended
FR,dominer,Indicatif,Futur,tu,domineras,10,reviewed,repo-local legacy seed normalized into curated contract; QA recommended
FR,dominer,Indicatif,Futur,"il (elle, on)",dominera,10,reviewed,repo-local legacy seed normalized into curated contract; QA recommended
FR,dominer,Indicatif,Futur,nous,dominerons,10,reviewed,repo-local legacy seed normalized into curated contract; QA recommended
FR,dominer,Indicatif,Futur,vous,dominerez,10,reviewed,repo-local legacy seed normalized into curated contract; QA recommended
FR,dominer,Indicatif,Futur,ils (elles),domineront,10,reviewed,repo-local legacy seed normalized into curated contract; QA recommended
FR,dominer,Indicatif,Passé composé,je,ai dominé,10,reviewed,repo-local legacy seed normalized into curated contract; QA recommended
FR,dominer,Indicatif,Passé composé,tu,as dominé,10,reviewed,repo-local legacy seed normalized into curated contract; QA recommended
FR,dominer,Indicatif,Passé composé,"il (elle, on)",a dominé,10,reviewed,repo-local legacy seed normalized into curated contract; QA recommended
FR,dominer,Indicatif,Passé composé,nous,avons dominé,10,reviewed,repo-local legacy seed normalized into curated contract; QA recommended
FR,dominer,Indicatif,Passé composé,vous,avez dominé,10,reviewed,repo-local legacy seed normalized into curated contract; QA recommended
FR,dominer,Indicatif,Passé composé,ils (elles),ont dominé,10,reviewed,repo-local legacy seed normalized into curated contract; QA recommended
FR,dominer,Indicatif,Imparfait,je,dominais,10,reviewed,repo-local legacy seed normalized into curated contract; QA recommended
FR,dominer,Indicatif,Imparfait,tu,dominais,10,reviewed,repo-local legacy seed normalized into curated contract; QA recommended
FR,dominer,Indicatif,Imparfait,"il (elle, on)",dominait,10,reviewed,repo-local legacy seed normalized into curated contract; QA recommended
FR,dominer,Indicatif,Imparfait,nous,dominions,10,reviewed,repo-local legacy seed normalized into curated contract; QA recommended
FR,dominer,Indicatif,Imparfait,vous,dominiez,10,reviewed,repo-local legacy seed normalized into curated contract; QA recommended
FR,dominer,Indicatif,Imparfait,ils (elles),dominaient,10,reviewed,repo-local legacy seed normalized into curated contract; QA recommended
FR,dominer,Conditionnel,Conditionnel présent,je,dominerais,10,reviewed,repo-local legacy seed normalized into curated contract; QA recommended
FR,dominer,Conditionnel,Conditionnel présent,tu,dominerais,10,reviewed,repo-local legacy seed normalized into curated contract; QA recommended
FR,dominer,Conditionnel,Conditionnel présent,"il (elle, on)",dominerait,10,reviewed,repo-local legacy seed normalized into curated contract; QA recommended
FR,dominer,Conditionnel,Conditionnel présent,nous,dominerions,10,reviewed,repo-local legacy seed normalized into curated contract; QA recommended
FR,dominer,Conditionnel,Conditionnel présent,vous,domineriez,10,reviewed,repo-local legacy seed normalized into curated contract; QA recommended
FR,dominer,Conditionnel,Conditionnel présent,ils (elles),domineraient,10,reviewed,repo-local legacy seed normalized into curated contract; QA recommended
FR,dominer,Impératif,Impératif,je,-,10,reviewed,repo-local legacy seed normalized into curated contract; QA recommended; French imperative only uses tu / nous / vous; placeholder - used for unsupported slot
FR,dominer,Impératif,Impératif,tu,domine,10,reviewed,repo-local legacy seed normalized into curated contract; QA recommended
FR,dominer,Impératif,Impératif,"il (elle, on)",-,10,reviewed,repo-local legacy seed normalized into curated contract; QA recommended; French imperative only uses tu / nous / vous; placeholder - used for unsupported slot
FR,dominer,Impératif,Impératif,nous,dominons,10,reviewed,repo-local legacy seed normalized into curated contract; QA recommended
FR,dominer,Impératif,Impératif,vous,dominez,10,reviewed,repo-local legacy seed normalized into curated contract; QA recommended
FR,dominer,Impératif,Impératif,ils (elles),-,10,reviewed,repo-local legacy seed normalized into curated contract; QA recommended; French imperative only uses tu / nous / vous; placeholder - used for unsupported slot
FR,dominer,Subjonctif,Subjonctif présent,je,domine,10,reviewed,repo-local legacy seed normalized into curated contract; QA recommended
FR,dominer,Subjonctif,Subjonctif présent,tu,domines,10,reviewed,repo-local legacy seed normalized into curated contract; QA recommended
FR,dominer,Subjonctif,Subjonctif présent,"il (elle, on)",domine,10,reviewed,repo-local legacy seed normalized into curated contract; QA recommended
FR,dominer,Subjonctif,Subjonctif présent,nous,dominions,10,reviewed,repo-local legacy seed normalized into curated contract; QA recommended
FR,dominer,Subjonctif,Subjonctif présent,vous,dominiez,10,reviewed,repo-local legacy seed normalized into curated contract; QA recommended
FR,dominer,Subjonctif,Subjonctif présent,ils (elles),dominent,10,reviewed,repo-local legacy seed normalized into curated contract; QA recommended
FR,dominer,Indicatif,Passé Simple,je,dominai,10,reviewed,repo-local legacy seed normalized into curated contract; QA recommended
FR,dominer,Indicatif,Passé Simple,tu,dominas,10,reviewed,repo-local legacy seed normalized into curated contract; QA recommended
FR,dominer,Indicatif,Passé Simple,"il (elle, on)",domina,10,reviewed,repo-local legacy seed normalized into curated contract; QA recommended
FR,dominer,Indicatif,Passé Simple,nous,dominâmes,10,reviewed,repo-local legacy seed normalized into curated contract; QA recommended
FR,dominer,Indicatif,Passé Simple,vous,dominâtes,10,reviewed,repo-local legacy seed normalized into curated contract; QA recommended
FR,dominer,Indicatif,Passé Simple,ils (elles),dominèrent,10,reviewed,repo-local legacy seed normalized into curated contract; QA recommended
FR,dominer,Subjonctif,Subjonctif imparfait,je,dominasse,10,reviewed,repo-local legacy seed normalized into curated contract; QA recommended
FR,dominer,Subjonctif,Subjonctif imparfait,tu,dominasses,10,reviewed,repo-local legacy seed normalized into curated contract; QA recommended
FR,dominer,Subjonctif,Subjonctif imparfait,"il (elle, on)",dominât,10,reviewed,repo-local legacy seed normalized into curated contract; QA recommended
FR,dominer,Subjonctif,Subjonctif imparfait,nous,dominassions,10,reviewed,repo-local legacy seed normalized into curated contract; QA recommended
