language_code,infinitive,mood,tense,pronoun,conjugated_form,batch,review_status,source_note
FR,déranger,Indicatif,Présent,je,dérange,12,reviewed,
FR,déranger,Indicatif,Présent,tu,déranges,12,reviewed,
FR,déranger,Indicatif,Présent,"il (elle, on)",dérange,12,reviewed,
FR,déranger,Indicatif,Présent,nous,dérangeons,12,reviewed,
FR,déranger,Indicatif,Présent,vous,dérangez,12,reviewed,
FR,déranger,Indicatif,Présent,ils (elles),dérangent,12,reviewed,
FR,déranger,Indicatif,Futur,je,dérangerai,12,reviewed,
FR,déranger,Indicatif,Futur,tu,dérangeras,12,reviewed,
FR,déranger,Indicatif,Futur,"il (elle, on)",dérangera,12,reviewed,
FR,déranger,Indicatif,Futur,nous,dérangerons,12,reviewed,
FR,déranger,Indicatif,Futur,vous,dérangerez,12,reviewed,
FR,déranger,Indicatif,Futur,ils (elles),dérangeront,12,reviewed,
FR,déranger,Indicatif,Passé composé,je,ai dérangé,12,reviewed,
FR,déranger,Indicatif,Passé composé,tu,as dérangé,12,reviewed,
FR,déranger,Indicatif,Passé composé,"il (elle, on)",a dérangé,12,reviewed,
FR,déranger,Indicatif,Passé composé,nous,avons dérangé,12,reviewed,
FR,déranger,Indicatif,Passé composé,vous,avez dérangé,12,reviewed,
FR,déranger,Indicatif,Passé composé,ils (elles),ont dérangé,12,reviewed,
FR,déranger,Indicatif,Imparfait,je,dérangeais,12,reviewed,
FR,déranger,Indicatif,Imparfait,tu,dérangeais,12,reviewed,
FR,déranger,Indicatif,Imparfait,"il (elle, on)",dérangeait,12,reviewed,
FR,déranger,Indicatif,Imparfait,nous,dérangions,12,reviewed,
FR,déranger,Indicatif,Imparfait,vous,dérangiez,12,reviewed,
FR,déranger,Indicatif,Imparfait,ils (elles),dérangeaient,12,reviewed,
FR,déranger,Conditionnel,Conditionnel présent,je,dérangerais,12,reviewed,
FR,déranger,Conditionnel,Conditionnel présent,tu,dérangerais,12,reviewed,
FR,déranger,Conditionnel,Conditionnel présent,"il (elle, on)",dérangerait,12,reviewed,
FR,déranger,Conditionnel,Conditionnel présent,nous,dérangerions,12,reviewed,
FR,déranger,Conditionnel,Conditionnel présent,vous,dérangeriez,12,reviewed,
FR,déranger,Conditionnel,Conditionnel présent,ils (elles),dérangeraient,12,reviewed,
FR,déranger,Impératif,Impératif,je,-,12,reviewed,French imperative only uses tu / nous / vous; placeholder - used for unsupported slot
FR,déranger,Impératif,Impératif,tu,dérange,12,reviewed,
