rank,batch,fr_infinitive,es_infinitive,link_order,legacy_ids,source_es_text,en_infinitive,ru_infinitive,cefr_level
451,10,contenir,contener,1,453,contener,contain,вмещать,B1
452,10,dominer,dominar,1,454,dominar,dominate,преобладать,B1
453,10,transmettre,transmitir,1,455,transmitir,transmit,пересылать,B1
454,10,causer,causar,1,456,causar,cause,вызывать,B1
455,10,situer,situar,1,457,"situar, ubicar",locate,размещать,B1
455,10,situer,ubicar,2,457,"situar, ubicar",locate,размещать,B1
456,10,détacher,desprender,1,458,"desprender, separar",detach,отсоединять,B1
456,10,détacher,separar,2,458,"desprender, separar",detach,отсоединять,B1
457,10,fonctionner,funcionar,1,459,funcionar,function,работать,A2
458,10,rassurer,tranquilizar,1,460,tranquilizar,reassure,успокаивать,B1
459,10,avaler,tragar,1,461,tragar,swallow,глотать,B1
460,10,associer,asociar,1,462,asociar,associate,связывать,B1
461,10,rassembler,reunir,1,463,"reunir, juntar",gather together,собирать,B1
461,10,rassembler,juntar,2,463,"reunir, juntar",gather together,собирать,B1
462,10,saluer,saludar,1,464,saludar,greet,приветствовать,A2
463,10,briller,brillar,1,465,brillar,shine,сиять,A2
464,10,commander,comandar,1,466,"comandar, ordenar",command,приказывать,A2
464,10,commander,ordenar,2,466,"comandar, ordenar",command,приказывать,A2
465,10,valoir,valer,1,467,valer,be worth,стоить,B1
466,10,reproduire,reproducir,1,468,reproducir,reproduce,воспроизводить,B1
467,10,recueillir,recoger,1,469,recoger,collect,собирать,B2
468,10,taper,teclear,1,470,"teclear, golpear",type,печатать,A2
468,10,taper,golpear,2,470,"teclear, golpear",type,печатать,A2
469,10,isoler,aislar,1,471,aislar,isolate,изолировать,B1
470,10,mentir,mentir,1,472,mentir,lie,обманывать,A2
471,10,rattraper,alcanzar,1,473,"alcanzar, atrapar",catch up,догонять,A2
471,10,rattraper,atrapar,2,473,"alcanzar, atrapar",catch up,догонять,A2
472,10,multiplier,multiplicar,1,474,multiplicar,multiply,умножать,B1
473,10,orienter,orientar,1,475,orientar,orient,направлять,B1
474,10,user,usar,1,476,"usar, desgastar",wear out,изнашивать,C1
474,10,user,desgastar,2,476,"usar, desgastar",wear out,изнашивать,C1
475,10,affronter,afrontar,1,477,"afrontar, enfrentar",confront,сталкиваться,B1
475,10,affronter,enfrentar,2,477,"afrontar, enfrentar",confront,сталкиваться,B1
476,10,enseigner,enseñar,1,478,enseñar,teach,обучать,A2
477,10,falloir,hacer falta,1,479,"hacer falta, necesitar",need,нуждаться,A1
477,10,falloir,necesitar,2,479,"hacer falta, necesitar",need,нуждаться,A1
478,10,enfermer,encerrar,1,480,encerrar,lock up,запирать,B1
479,10,dessiner,dibujar,1,481,dibujar,draw,рисовать,A1
480,10,favoriser,favorecer,1,482,favorecer,favor,поддерживать,B1
481,10,retomber,recaer,1,483,recaer,fall back,падать обратно,B1
482,10,recourir,recurrir,1,484,recurrir,resort to,прибегать к,B2
483,10,pratiquer,practicar,1,485,practicar,practice,заниматься,A2
484,10,abattre,abatir,1,486,"abatir, derribar",knock down,сбивать,B2
484,10,abattre,derribar,2,486,"abatir, derribar",knock down,сбивать,B2
485,10,baisser,bajar,1,487,bajar,lower,понижать,A2
486,10,bénéficier,beneficiar,1,488,beneficiar,benefit,извлекать пользу,B1
487,10,fonder,fundar,1,489,fundar,found,основывать,B1
488,10,exiger,exigir,1,490,exigir,demand,требовать,B1
489,10,réparer,reparar,1,491,reparar,repair,ремонтировать,A2
490,10,risquer,arriesgar,1,492,arriesgar,risk,рисковать,B1
491,10,percevoir,percibir,1,493,percibir,perceive,воспринимать,B2
492,10,comporter,comportar,1,494,comportar,include,включать,B2
493,10,vider,vaciar,1,495,vaciar,empty,опустошать,A2
494,10,accéder,acceder,1,496,acceder,access,получать доступ,B1
495,10,composer,componer,1,497,componer,compose,сочинять,B1
496,10,formuler,formular,1,498,formular,formulate,формулировать,B2
497,10,caresser,acariciar,1,499,acariciar,caress,ласкать,B1
498,10,signer,firmar,1,500,firmar,sign,подписывать,A2
499,10,prolonger,prolongar,1,501,prolongar,prolong,продлевать,B1
500,10,varier,variar,1,502,variar,vary,изменяться,B1
