rank,batch,fr_infinitive,es_infinitive,link_order,legacy_ids,source_es_text,en_infinitive,ru_infinitive,cefr_level
551,12,déranger,molestar,1,553,"molestar, perturbar",disturb,беспокоить,A2
551,12,déranger,perturbar,2,553,"molestar, perturbar",disturb,беспокоить,A2
552,12,déclarer,declarar,1,554,declarar,declare,заявлять,B1
553,12,se repentir,arrepentirse,1,555,arrepentirse,repent,раскаиваться,C1
554,12,interrompre,interrumpir,1,556,interrumpir,interrupt,прерывать,B1
555,12,plier,doblar,1,557,doblar,fold,сгибать,A2
556,12,inquiéter,inquietar,1,558,"inquietar, preocupar",worry,беспокоить,A2
556,12,inquiéter,preocupar,2,558,"inquietar, preocupar",worry,беспокоить,A2
557,12,secouer,sacudir,1,559,sacudir,shake,встряхивать,B1
558,12,bouffer,comer (coloquial),1,560,"comer (coloquial), zampar",wolf down,уплетать,B2
558,12,bouffer,zampar,2,560,"comer (coloquial), zampar",wolf down,уплетать,B2
559,12,entrevoir,entrever,1,561,"entrever, vislumbrar",glimpse,замечать,C1
559,12,entrevoir,vislumbrar,2,561,"entrever, vislumbrar",glimpse,замечать,C1
560,12,souffler,soplar,1,562,soplar,blow,дуть,A2
561,12,souhaiter,desear,1,563,desear,wish,желать,A2
562,12,discerner,discernir,1,564,discernir,discern,различать,C1
563,12,confirmer,confirmar,1,565,confirmar,confirm,подтверждать,B1
564,12,allonger,alargar,1,566,alargar,lengthen,удлинять,B1
565,12,grimper,trepar,1,567,"trepar, escalar",climb,взбираться,A2
565,12,grimper,escalar,2,567,"trepar, escalar",climb,взбираться,A2
566,12,pardonner,perdonar,1,568,perdonar,forgive,прощать,A2
567,12,repérer,localizar,1,569,"localizar, detectar",spot,замечать,B1
567,12,repérer,detectar,2,569,"localizar, detectar",spot,замечать,B1
568,12,estimer,estimar,1,570,"estimar, valorar",estimate,оценивать,B1
568,12,estimer,valorar,2,570,"estimar, valorar",estimate,оценивать,B1
569,12,presser,presionar,1,571,"presionar, apretar",press,нажимать,B1
569,12,presser,apretar,2,571,"presionar, apretar",press,нажимать,B1
570,12,creuser,cavar,1,572,"cavar, excavar",dig,копать,B1
570,12,creuser,excavar,2,572,"cavar, excavar",dig,копать,B1
571,12,lier,ligar,1,573,"ligar, unir",link,связывать,B1
571,12,lier,unir,2,573,"ligar, unir",link,связывать,B1
572,12,clocher,estar mal,1,574,"estar mal, no funcionar bien (coloquial)",malfunction,ломаться,C1
572,12,clocher,no funcionar bien (coloquial),2,574,"estar mal, no funcionar bien (coloquial)",malfunction,ломаться,C1
573,12,boulanger,hacer pan,1,575,"hacer pan, panificar",bake bread,выпекать,C2
573,12,boulanger,panificar,2,575,"hacer pan, panificar",bake bread,выпекать,C2
574,12,verser,verter,1,576,"verter, derramar",pour,наливать,A2
574,12,verser,derramar,2,576,"verter, derramar",pour,наливать,A2
575,12,refermer,volver a cerrar,1,577,"volver a cerrar, cerrar de nuevo",close again,закрывать снова,B1
575,12,refermer,cerrar de nuevo,2,577,"volver a cerrar, cerrar de nuevo",close again,закрывать снова,B1
576,12,repousser,rechazar,1,578,"rechazar, posponer",push back,отталкивать,B1
576,12,repousser,posponer,2,578,"rechazar, posponer",push back,отталкивать,B1
577,12,piquer,picar,1,579,"picar, pinchar, robar (coloquial)",prick,прокалывать,B1
577,12,piquer,pinchar,2,579,"picar, pinchar, robar (coloquial)",prick,прокалывать,B1
577,12,piquer,robar (coloquial),3,579,"picar, pinchar, robar (coloquial)",prick,прокалывать,B1
