rank,batch,fr_infinitive,es_infinitive,link_order,legacy_ids,source_es_text,en_infinitive,ru_infinitive,cefr_level
651,14,régner,reinar,1,653,reinar,reign,царствовать,B2
652,14,distribuer,distribuir,1,654,distribuir,distribute,распределять,A2
653,14,sécher,secar,1,655,secar,dry,высушивать,A2
654,14,enrichir,enriquecer,1,656,enriquecer,enrich,обогащать,B1
655,14,soupçonner,sospechar,1,657,sospechar,suspect,подозревать,B2
656,14,essuyer,secar,1,658,"secar, limpiar",wipe,вытирать,A2
656,14,essuyer,limpiar,2,658,"secar, limpiar",wipe,вытирать,A2
657,14,dissoudre,disolver,1,659,disolver,dissolve,растворять,B2
658,14,compenser,compensar,1,660,compensar,compensate,компенсировать,B1
659,14,grouper,agrupar,1,661,agrupar,group,группировать,B1
660,14,cueillir,recoger,1,662,"recoger, cosechar",pick,собирать,A2
660,14,cueillir,cosechar,2,662,"recoger, cosechar",pick,собирать,A2
661,14,manier,manejar,1,663,manejar,handle,управлять,B2
662,14,caractériser,caracterizar,1,664,caracterizar,characterize,характеризовать,B2
663,14,progresser,progresar,1,665,progresar,progress,развиваться,A2
664,14,absorber,absorber,1,666,absorber,absorb,поглощать,B1
665,14,maîtriser,dominar,1,667,"dominar, controlar",master,осваивать,B1
665,14,maîtriser,controlar,2,667,"dominar, controlar",master,осваивать,B1
666,14,basculer,volcar,1,668,"volcar, bascular",tip over,опрокидываться,B2
666,14,basculer,bascular,2,668,"volcar, bascular",tip over,опрокидываться,B2
667,14,compromettre,comprometer,1,669,comprometer,compromise,ставить под угрозу,B2
668,14,circuler,circular,1,670,circular,circulate,циркулировать,A2
669,14,pécher,pecar,1,671,pecar,sin,грешить,B2
670,14,pêcher,pescar,1,672,pescar,fish,рыбачить,A2
671,14,déclencher,desencadenar,1,673,desencadenar,trigger,запускать,B2
672,14,se loger,hospedarse,1,674,hospedarse,stay over,останавливаться,A2
673,14,alimenter,alimentar,1,675,alimentar,feed,питать,B1
674,14,épargner,ahorrar,1,676,"ahorrar, perdonar",spare,щадить,B1
674,14,épargner,perdonar,2,676,"ahorrar, perdonar",spare,щадить,B1
675,14,instruire,instruir,1,677,instruir,instruct,обучать,B2
676,14,apaiser,apaciguar,1,678,"apaciguar, calmar",soothe,успокаивать,B2
676,14,apaiser,calmar,2,678,"apaciguar, calmar",soothe,успокаивать,B2
677,14,remédier,remediar,1,679,remediar,remedy,исправлять,C1
678,14,accuser,acusar,1,680,acusar,accuse,обвинять,B1
679,14,cracher,escupir,1,681,escupir,spit,плевать,B1
680,14,heurter,chocar,1,682,"chocar, golpear",collide,сталкиваться,B2
680,14,heurter,golpear,2,682,"chocar, golpear",collide,сталкиваться,B2
681,14,enfiler,ensartar,1,683,ensartar,thread,продевать,B1
682,14,souper,cenar,1,684,cenar,dine,ужинать,A2
683,14,redresser,enderezar,1,685,enderezar,straighten,выпрямлять,B2
684,14,nager,nadar,1,686,nadar,swim,плавать,A1
685,14,coudre,coser,1,687,coser,sew,шить,A2
686,14,envahir,invadir,1,688,invadir,invade,захватывать,B1
687,14,ennuyer,aburrir,1,689,"aburrir, molestar",annoy,раздражать,A2
687,14,ennuyer,molestar,2,689,"aburrir, molestar",annoy,раздражать,A2
688,14,louer,alquilar,1,690,"alquilar, elogiar",rent,арендовать,A2
688,14,louer,elogiar,2,690,"alquilar, elogiar",rent,арендовать,A2
689,14,évoluer,evolucionar,1,691,evolucionar,evolve,развиваться,B1
690,14,préférer,preferir,1,692,preferir,prefer,предпочитать,A1
691,14,habituer,habituar,1,693,"habituar, acostumbrar",accustom,приучать,A2
691,14,habituer,acostumbrar,2,693,"habituar, acostumbrar",accustom,приучать,A2
692,14,repasser,planchar,1,694,"planchar, volver a pasar",iron,разглаживать,A2
692,14,repasser,volver a pasar,2,694,"planchar, volver a pasar",iron,разглаживать,A2
693,14,soustraire,sustraer,1,695,sustraer,subtract,вычитать,B2
694,14,baigner,bañar,1,696,bañar,bathe,купать,A2
695,14,consentir,consentir,1,697,consentir,consent,соглашаться,B2
696,14,condamner,condenar,1,698,condenar,condemn,осуждать,B1
697,14,négocier,negociar,1,699,negociar,negotiate,договариваться,B1
698,14,guetter,acechar,1,700,"acechar, vigilar",watch for,выслеживать,B2
698,14,guetter,vigilar,2,700,"acechar, vigilar",watch for,выслеживать,B2
699,14,protester,protestar,1,701,protestar,protest,протестовать,A2
700,14,reporter,aplazar,1,702,"aplazar, posponer",postpone,откладывать,B1
700,14,reporter,posponer,2,702,"aplazar, posponer",postpone,откладывать,B1
